,i,name,SMILES
150,150,CH2CHO(21) + HO2(16) <=> CH2O(9) + HCO(19) + OH(15),[CH2]C=O+[O]O_C=O+[CH]=O+[OH]
151,151,CH3(18) + HO2(16) <=> CH4(10) + O2(2),[CH3]+[O]O_C+[O][O]
152,152,CH3(18) + HCO(19) <=> CH4(10) + CO(6),[CH3]+[CH]=O_C+[C-]#[O+]
153,153,CH2O(9) + CH3(18) <=> CH4(10) + HCO(19),C=O+[CH3]_C+[CH]=O
154,154,CH4(10) + O(5) <=> CH3(18) + OH(15),C+[O]_[CH3]+[OH]
155,155,CH4(10) + OH(15) <=> H2O(8) + CH3(18),C+[OH]_O+[CH3]
156,156,CH4(10) + HO2(16) <=> H2O2(17) + CH3(18),C+[O]O_OO+[CH3]
157,157,CH4(10) + CH2(23) <=> CH3(18) + CH3(18),C+[CH2]_[CH3]+[CH3]
158,158,CH4(10) + C2H(4) <=> C2H2(25) + CH3(18),C+[C]#C_C#C+[CH3]
159,159,CH3(18) + C2H3(22) <=> CH4(10) + C2H2(25),[CH3]+[CH]=C_C+C#C
160,160,CH3CO(20) + CH3(18) <=> CH4(10) + CH2CO(24),C[C]=O+[CH3]_C+C=C=O
161,161,CH2O(9) + CH3(18) <=> CH4(10) + CO(6) + H(14),C=O+[CH3]_C+[C-]#[O+]+[H]
162,162,CH2O(9) + C2H3(22) <=> C2H4(11) + HCO(19),C=O+[CH]=C_C=C+[CH]=O
163,163,CH2(23) + CH3(18) <=> C2H4(11) + H(14),[CH2]+[CH3]_C=C+[H]
164,164,CH4(10) + CH(3) <=> C2H4(11) + H(14),C+[CH]_C=C+[H]
165,165,C2H4(11) + OH(15) <=> H2O(8) + C2H3(22),C=C+[OH]_O+[CH]=C
166,166,C2H4(11) + OH(15) <=> CH2O(9) + CH3(18),C=C+[OH]_C=O+[CH3]
167,167,C2H4(11) + CH3(18) <=> CH4(10) + C2H3(22),C=C+[CH3]_C+[CH]=C
168,168,C2H4(11) + O2(2) <=> C2H3(22) + HO2(16),C=C+[O][O]_[CH]=C+[O]O
169,169,C2H3(22) + C2H3(22) <=> C2H2(25) + C2H4(11),[CH]=C+[CH]=C_C#C+C=C
170,170,C2H4(11) + O(5) <=> CO(6) + CH3(18) + H(14),C=C+[O]_[C-]#[O+]+[CH3]+[H]
171,171,CH2O(9) + C2H3(22) <=> C2H4(11) + CO(6) + H(14),C=O+[CH]=C_C=C+[C-]#[O+]+[H]
172,172,C2H3(22) + HCO(19) <=> C2H4(11) + CO(6),[CH]=C+[CH]=O_C=C+[C-]#[O+]
173,173,CH2(23) + CH2CHO(21) <=> C2H4(11) + HCO(19),[CH2]+[CH2]C=O_C=C+[CH]=O
174,174,CH2(23) + CH2CHO(21) <=> C2H4(11) + CO(6) + H(14),[CH2]+[CH2]C=O_C=C+[C-]#[O+]+[H]
175,175,CH3(18) + C2H3(22) <=> C3H6(12),[CH3]+[CH]=C_C=CC
176,176,C3H6(12) <=> CH3(18) + C2H3(22),C=CC_[CH3]+[CH]=C
177,177,C3H6(12) + O(5) => CH2CO(24) + CH3(18) + H(14),C=CC+[O]_C=C=O+[CH3]+[H]
178,178,C3H6(12) + H(14) <=> C2H4(11) + CH3(18),C=CC+[H]_C=C+[CH3]
179,179,HCO(19) + H(14) <=> CO(6) + H2(13),[CH]=O+[H]_[C-]#[O+]+[H][H]
180,180,CH(3) + H2(13) <=> CH2(23) + H(14),[CH]+[H][H]_[CH2]+[H]
181,181,CH(3) + H2(13) <=> CH3(18),[CH]+[H][H]_[CH3]
182,182,CH2(23) + H2(13) <=> CH3(18) + H(14),[CH2]+[H][H]_[CH3]+[H]
183,183,CH2(23) + O2(2) <=> CO2(7) + H2(13),[CH2]+[O][O]_O=C=O+[H][H]
184,184,CH2O(9) + H(14) <=> HCO(19) + H2(13),C=O+[H]_[CH]=O+[H][H]
185,185,CH3(18) + O(5) <=> CO(6) + H(14) + H2(13),[CH3]+[O]_[C-]#[O+]+[H]+[H][H]
186,186,CH3(18) + OH(15) <=> CH2O(9) + H2(13),[CH3]+[OH]_C=O+[H][H]
187,187,CH4(10) + H(14) <=> CH3(18) + H2(13),C+[H]_[CH3]+[H][H]
188,188,C2H(4) + H2(13) <=> C2H2(25) + H(14),[C]#C+[H][H]_C#C+[H]
189,189,C2H3(22) + H(14) <=> C2H2(25) + H2(13),[CH]=C+[H]_C#C+[H][H]
190,190,CH2CHO(21) + H(14) <=> CH2CO(24) + H2(13),[CH2]C=O+[H]_C=C=O+[H][H]
191,191,C2H4(11) + H(14) <=> C2H3(22) + H2(13),C=C+[H]_[CH]=C+[H][H]
192,192,HCO(19) + HCO(19) => CO(6) + CO(6) + H2(13),[CH]=O+[CH]=O_[C-]#[O+]+[C-]#[O+]+[H][H]
193,193,CH3CO(20) + H(14) <=> CH2CO(24) + H2(13),C[C]=O+[H]_C=C=O+[H][H]
194,194,CH2(23) + O(5) <=> CO(6) + H2(13),[CH2]+[O]_[C-]#[O+]+[H][H]
195,195,CH2(23) + CH2(23) <=> C2H2(25) + H2(13),[CH2]+[CH2]_C#C+[H][H]
196,196,C2H4(11) <=> C2H2(25) + H2(13),C=C_C#C+[H][H]
197,197,CH2O(9) + H(14) <=> CO(6) + H(14) + H2(13),C=O+[H]_[C-]#[O+]+[H]+[H][H]
198,198,CH3(18) + HCO(19) <=> CH2CO(24) + H2(13),[CH3]+[CH]=O_C=C=O+[H][H]
199,199,CH3(18) + CH3(18) <=> C2H5(33) + H(14),[CH3]+[CH3]_C[CH2]+[H]
200,200,C2H5(33) + H(14) <=> C2H4(11) + H2(13),C[CH2]+[H]_C=C+[H][H]
201,201,C2H5(33) + O(5) <=> CH2O(9) + CH3(18),C[CH2]+[O]_C=O+[CH3]
202,202,C2H5(33) + O(5) <=> C2H4(11) + OH(15),C[CH2]+[O]_C=C+[OH]
203,203,C2H5(33) + O2(2) <=> C2H4(11) + HO2(16),C[CH2]+[O][O]_C=C+[O]O
204,204,C2H5(33) + CH3(18) <=> CH4(10) + C2H4(11),C[CH2]+[CH3]_C+C=C
205,205,C2H4(11) + C2H4(11) <=> C2H5(33) + C2H3(22),C=C+C=C_C[CH2]+[CH]=C
206,206,CH2CO(24) + CH3(18) <=> C2H5(33) + CO(6),C=C=O+[CH3]_C[CH2]+[C-]#[O+]
207,207,C3H6(12) + O(5) <=> C2H5(33) + HCO(19),C=CC+[O]_C[CH2]+[CH]=O
208,208,butane(1) <=> C2H5(33) + C2H5(33),CCCC_C[CH2]+C[CH2]
209,209,C2H5(33) + OH(15) <=> C2H4(11) + H2O(8),C[CH2]+[OH]_C=C+O
210,210,C2H5(33) + HCO(19) <=> CH2CHO(21) + CH3(18),C[CH2]+[CH]=O_[CH2]C=O+[CH3]
211,211,H2O2(17) + C2H3(22) <=> C2H4(11) + HO2(16),OO+[CH]=C_C=C+[O]O
212,212,HCO(19) + HO2(16) <=> H2O2(17) + CO(6),[CH]=O+[O]O_OO+[C-]#[O+]
213,213,C2H5(33) + HO2(16) <=> C2H4(11) + H2O2(17),C[CH2]+[O]O_C=C+OO
214,214,CH2(23) + HO2(16) <=> CH3(18) + O2(2),[CH2]+[O]O_[CH3]+[O][O]
215,215,C2H5(33) + CH2(23) <=> C2H4(11) + CH3(18),C[CH2]+[CH2]_C=C+[CH3]
216,216,CH3CO(20) + C2H3(22) <=> C2H4(11) + CH2CO(24),C[C]=O+[CH]=C_C=C+C=C=O
217,217,CH2CHO(21) + C2H3(22) <=> C2H4(11) + CH2CO(24),[CH2]C=O+[CH]=C_C=C+C=C=O
218,218,C2H2(25) + O2(2) <=> C2H(4) + HO2(16),C#C+[O][O]_[C]#C+[O]O
219,219,C2H5(33) + HCO(19) <=> C2H4(11) + CH2O(9),C[CH2]+[CH]=O_C=C+C=O
220,220,CH3(18) <=> CH2(23) + H(14),[CH3]_[CH2]+[H]
221,221,CO(6) + CH3(18) <=> CH3CO(20),[C-]#[O+]+[CH3]_C[C]=O
222,222,CH2CHO(21) <=> CH3CO(20),[CH2]C=O_C[C]=O
223,223,CH2CHO(21) <=> CH2(23) + HCO(19),[CH2]C=O_[CH2]+[CH]=O
224,224,CH2CO(24) + H(14) <=> CH2CHO(21),C=C=O+[H]_[CH2]C=O
225,225,CH2CHO(21) <=> C2H3(22) + O(5),[CH2]C=O_[CH]=C+[O]
226,226,C2H2(25) + H(14) <=> C2H3(22),C#C+[H]_[CH]=C
227,227,C2H2(25) <=> C2H(4) + H(14),C#C_[C]#C+[H]
228,228,CH2O(9) <=> CO(6) + H2(13),C=O_[C-]#[O+]+[H][H]
229,229,CH2O(9) <=> HCO(19) + H(14),C=O_[CH]=O+[H]
230,230,CH3(18) + H(14) <=> CH4(10),[CH3]+[H]_C
231,231,C2H4(11) <=> C2H3(22) + H(14),C=C_[CH]=C+[H]
232,232,C2H5(33) <=> CH2(23) + CH3(18),C[CH2]_[CH2]+[CH3]
233,233,C2H4(11) + H(14) <=> C2H5(33),C=C+[H]_C[CH2]
234,234,NC3H7(92) + O2(2) <=> C3H6(12) + HO2(16),[CH2]CC+[O][O]_C=CC+[O]O
235,235,C3H6(12) + H(14) <=> NC3H7(92),C=CC+[H]_[CH2]CC
236,236,C2H4(11) + CH3(18) <=> NC3H7(92),C=C+[CH3]_[CH2]CC
237,237,butane(1) <=> NC3H7(92) + CH3(18),CCCC_[CH2]CC+[CH3]
238,238,CH3CO(20) <=> CH2(23) + HCO(19),C[C]=O_[CH2]+[CH]=O
239,239,CH3CO(20) <=> C2H3(22) + O(5),C[C]=O_[CH]=C+[O]
240,240,CH2CHO(21) <=> CO(6) + CH3(18),[CH2]C=O_[C-]#[O+]+[CH3]
241,241,NC3H7(92) <=> C2H5(33) + CH2(23),[CH2]CC_C[CH2]+[CH2]
242,242,SC4H9(183) + H(14) <=> butane(1),C[CH]CC+[H]_CCCC
243,243,butane(1) + O2(2) <=> SC4H9(183) + HO2(16),CCCC+[O][O]_C[CH]CC+[O]O
244,244,butane(1) + C2H3(22) <=> C2H4(11) + SC4H9(183),CCCC+[CH]=C_C=C+C[CH]CC
245,245,butane(1) + CH3(18) <=> CH4(10) + SC4H9(183),CCCC+[CH3]_C+C[CH]CC
246,246,butane(1) + H(14) <=> SC4H9(183) + H2(13),CCCC+[H]_C[CH]CC+[H][H]
247,247,butane(1) + OH(15) <=> SC4H9(183) + H2O(8),CCCC+[OH]_C[CH]CC+O
248,248,butane(1) + O(5) <=> SC4H9(183) + OH(15),CCCC+[O]_C[CH]CC+[OH]
249,249,butane(1) + HO2(16) <=> SC4H9(183) + H2O2(17),CCCC+[O]O_C[CH]CC+OO
250,250,SC4H9(183) <=> C3H6(12) + CH3(18),C[CH]CC_C=CC+[CH3]
251,251,CH2O(9) + SC4H9(183) <=> butane(1) + HCO(19),C=O+C[CH]CC_CCCC+[CH]=O
252,252,SC4H9(183) + CH3CO(20) <=> CH2CO(24) + butane(1),C[CH]CC+C[C]=O_C=C=O+CCCC
253,253,SC4H9(183) + CH2CHO(21) <=> CH2CO(24) + butane(1),C[CH]CC+[CH2]C=O_C=C=O+CCCC
254,254,SC4H9(183) + C2H3(22) <=> C2H2(25) + butane(1),C[CH]CC+[CH]=C_C#C+CCCC
255,255,SC4H9(183) + HCO(19) <=> butane(1) + CO(6),C[CH]CC+[CH]=O_CCCC+[C-]#[O+]
