,rmg_index,name,entry_type,sensitivity,uncertainty,improvement_score
90,90,[O]OCC(=O)COO,species,0.0011600337268560209,3.1,0.0001160033726856022
91,91,[O]C[O],species,-3.0668595762598477e-07,3.4,1.2267438305039387e-07
92,92,C1=CCC1,species,-8.03505450096401e-06,2.4,-4.821032700578407e-06
93,93,[CH2]C=C[CH2],species,-2.522050920553935e-07,3.4,1.0088203682215738e-07
94,94,[CH]1CC1,species,-3.3486673850460146e-07,1.5,-5.023001077569022e-07
95,95,C=CCO[O],species,-4.6946994640880015e-05,1.5,-7.042049196132002e-05
96,96,C1OO1,species,-2.655282170719829e-07,2.1,-2.389753953647846e-07
97,97,C=CC(C)O[O],species,-9.326153119625805e-07,3.1,9.326153119625813e-08
98,98,CC=CCO[O],species,-3.492728735360166e-06,3.1,3.492728735360169e-07
99,99,[CH2]C1CC1,species,2.940749943540039e-05,3.1,2.9407499435400416e-06
100,100,C=CCCO[O],species,-1.6772033516789932e-06,3.1,1.6772033516789947e-07
101,101,[C]1CCC1,species,-3.580024970100408e-07,2.6,-1.4320099880401628e-07
102,102,[CH2]C(CCO)OO,species,0.00011689488227689887,2.3,-8.182641759382924e-05
103,103,OCCC1CO1,species,-0.0011637384706990168,2.4,-0.0006982430824194101
104,104,[CH2]C1CO1,species,2.938275727034659e-05,1.5,-4.407413590551988e-05
105,105,[CH]1CCOOC1,species,0.0015869738383031302,2.9000000000000004,-0.00015869738383031247
106,106,[O]C=CCC[O],species,-3.226915473915093e-07,2.3,-2.2588408317405658e-07
107,107,O=CC1CCO1,species,-1.7743765028466943e-05,2.1,-1.5969388525620248e-05
108,108,C1=COOCC1,species,-3.075232726697645e-07,2.2,-2.4601861813581156e-07
109,109,[O]OC1CCOOC1,species,-6.172388350559143e-05,3.3000000000000003,1.8517165051677447e-05
110,0,O2(2) + H(14) <=> O(5) + OH(15),reaction,-0.006400019736651848,0.5,-0.01600004934162962
111,1,O(5) + H2(13) <=> H(14) + OH(15),reaction,0.0,0.5,-0.0
112,2,OH(15) + H2(13) <=> H(14) + H2O(8),reaction,3.8719206924879805e-05,0.5,-9.679801731219952e-05
113,3,OH(15) + OH(15) <=> O(5) + H2O(8),reaction,-1.3046243743150184e-07,0.5,-3.261560935787546e-07
114,4,H2(13) <=> H(14) + H(14),reaction,0.0,0.5,-0.0
115,5,Ar + H2(13) <=> Ar + H(14) + H(14),reaction,-2.7115425105644665e-07,0.5,-6.778856276411167e-07
116,6,He + H2(13) <=> He + H(14) + H(14),reaction,-2.8222460379796376e-07,0.5,-7.055615094949094e-07
117,7,O(5) + O(5) <=> O2(2),reaction,0.0,0.5,-0.0
118,8,Ar + O(5) + O(5) <=> Ar + O2(2),reaction,-2.616517208277299e-07,0.5,-6.541293020693248e-07
119,9,He + O(5) + O(5) <=> He + O2(2),reaction,-2.8222460379796376e-07,0.5,-7.055615094949094e-07
120,10,O(5) + H(14) <=> OH(15),reaction,0.0,0.5,-0.0
121,11,H2O(8) <=> H(14) + OH(15),reaction,0.0,0.5,-0.0
122,12,H2O(8) + H2O(8) <=> H(14) + OH(15) + H2O(8),reaction,-2.9140238101314085e-07,0.5,-7.285059525328521e-07
123,13,O2(2) + H(14) <=> HO2(16),reaction,0.0,0.5,-0.0
124,14,H(14) + HO2(16) <=> O2(2) + H2(13),reaction,0.00012844518079993598,0.5,-0.00032111295199984
125,15,H(14) + HO2(16) <=> OH(15) + OH(15),reaction,-0.0008962360234856168,0.5,-0.002240590058714042
126,16,O(5) + HO2(16) <=> O2(2) + OH(15),reaction,5.0512152635095474e-05,0.5,-0.0001262803815877387
127,17,OH(15) + HO2(16) <=> O2(2) + H2O(8),reaction,0.007815847187229863,0.5,-0.019539617968074657
128,18,HO2(16) + HO2(16) <=> O2(2) + H2O2(17),reaction,0.0,0.5,-0.0
129,19,H2O2(17) <=> OH(15) + OH(15),reaction,0.0,0.5,-0.0
130,20,H(14) + H2O2(17) <=> OH(15) + H2O(8),reaction,-0.0007065909014627066,0.5,-0.0017664772536567664
131,21,H(14) + H2O2(17) <=> HO2(16) + H2(13),reaction,0.0003625341232884534,0.5,-0.0009063353082211336
132,22,O(5) + H2O2(17) <=> OH(15) + HO2(16),reaction,4.986943615971474e-05,0.5,-0.00012467359039928686
133,23,OH(15) + H2O2(17) <=> HO2(16) + H2O(8),reaction,0.0,0.5,-0.0
134,24,H(14) + HO2(16) <=> O(5) + H2O(8),reaction,-0.00015731724326525595,0.5,-0.00039329310816313987
135,25,H(14) + HO2(16) <=> H2O2(17),reaction,0.0,0.5,-0.0
136,26,OH(15) + OH(15) <=> O2(2) + H2(13),reaction,-3.024167818591878e-07,0.5,-7.560419546479696e-07
137,27,O(5) + H2O(8) <=> O2(2) + H2(13),reaction,-3.093341144533043e-07,0.5,-7.733352861332608e-07
138,28,O(5) + H2O2(17) <=> O2(2) + H2O(8),reaction,1.3222247320891555e-05,0.5,-3.305561830222889e-05
139,29,O(5) + OH(15) <=> HO2(16),reaction,0.0,0.5,-0.0
140,30,O(5) + C2H4(11) <=> HCO(19) + CH3(18),reaction,-1.1858559353439766e-07,0.5,-2.9646398383599414e-07
141,31,O(5) + C2H4(11) <=> H(14) + CH3CO(20),reaction,-5.058094373174625e-07,0.5,-1.2645235932936562e-06
142,32,O(5) + C2H4(11) <=> H(14) + CH2CHO(21),reaction,-4.455407830948899e-05,0.5,-0.00011138519577372246
143,33,O(5) + C2H4(11) <=> OH(15) + C2H3(22),reaction,-2.865095240332266e-07,0.5,-7.162738100830665e-07
144,34,O(5) + C2H4(11) <=> CH2(23) + CH2O(9),reaction,-6.319550431213712e-05,0.5,-0.0001579887607803428
145,35,O(5) + C2H4(11) <=> H2(13) + CH2CO(24),reaction,6.392948280129557e-06,0.5,-1.5982370700323892e-05
146,36,O(5) + C2H4(11) <=> CO(6) + CH4(10),reaction,-2.7763210412517055e-07,0.5,-6.940802603129264e-07
147,37,O(5) + C2H4(11) <=> H2O(8) + C2H2(25),reaction,-3.2215123638943816e-07,0.5,-8.053780909735954e-07
148,38,CH2(23) + CH2(23) <=> H(14) + H(14) + C2H2(25),reaction,-2.9562629049904116e-07,0.5,-7.390657262476029e-07
149,39,OH(15) + C2H2(25) <=> H(14) + CH2CO(24),reaction,-5.119021804633368e-07,0.5,-1.2797554511583419e-06
150,40,OH(15) + C2H3(22) <=> HCO(19) + CH3(18),reaction,-2.4334499890873054e-07,0.5,-6.083624972718264e-07
151,41,OH(15) + C2H3(22) <=> H(14) + CH3CO(20),reaction,-3.2330596088890995e-07,0.5,-8.082649022222749e-07
152,42,H(14) + CH2CHO(21) <=> HCO(19) + CH3(18),reaction,-9.817270335691341e-08,0.5,-2.4543175839228353e-07
153,43,H(14) + CH2CHO(21) <=> H(14) + CH3CO(20),reaction,-1.790578813282024e-07,0.5,-4.47644703320506e-07
154,44,H(14) + CH3CO(20) <=> HCO(19) + CH3(18),reaction,-2.561835611942454e-07,0.5,-6.404589029856135e-07
155,45,CH3CO(20) <=> H(14) + CH2CO(24),reaction,0.0,0.5,-0.0
156,46,HO2(16) + C2H2(25) <=> OH(15) + CH2CO(24),reaction,-3.5733596685610697e-07,0.5,-8.933399171402674e-07
157,47,CH2(23) + C2H3(22) <=> CH3(18) + C2H2(25),reaction,-3.533625864609785e-07,0.5,-8.834064661524463e-07
158,48,HO2(16) + C2H3(22) <=> OH(15) + CH2CHO(21),reaction,-5.152589952932344e-06,0.5,-1.288147488233086e-05
159,49,O2(2) + C2H3(22) <=> HO2(16) + C2H2(25),reaction,6.840648501195738e-05,0.5,-0.00017101621252989344
160,50,O2(2) + CH3CO(20) <=> HO2(16) + CH2CO(24),reaction,-0.0007612590062209201,0.5,-0.0019031475155523
161,51,O2(2) + CH2(23) <=> OH(15) + HCO(19),reaction,7.468943073164721e-08,0.5,-1.86723576829118e-07
162,52,O2(2) + CH2CHO(21) <=> HO2(16) + CH2CO(24),reaction,0.0,0.5,-0.0
163,53,O2(2) + C2H3(22) <=> OH(15) + CH2CO(24),reaction,0.0,0.5,-0.0
164,54,O2(2) + C2H2(25) <=> HCO(19) + HCO(19),reaction,-3.1075762512593016e-07,0.5,-7.768940628148253e-07
165,55,OH(15) + CH(3) <=> H(14) + HCO(19),reaction,-3.0247573394644203e-07,0.5,-7.561893348661051e-07
166,56,CH(3) + CH2(23) <=> H(14) + C2H2(25),reaction,-2.8886314272989297e-07,0.5,-7.221578568247324e-07
167,57,CH(3) + CH3(18) <=> H(14) + C2H3(22),reaction,-2.648379394473397e-07,0.5,-6.620948486183493e-07
168,58,CH2(23) <=> H(14) + CH(3),reaction,0.0,0.5,-0.0
169,59,CH(3) + C2H3(22) <=> CH2(23) + C2H2(25),reaction,-2.887738151019108e-07,0.5,-7.21934537754777e-07
170,60,CH(3) + CH2CHO(21) <=> HCO(19) + C2H3(22),reaction,0.0,0.5,-0.0
171,61,C2H(4) + C2H3(22) <=> C2H2(25) + C2H2(25),reaction,-2.9327134170489645e-07,0.5,-7.331783542622412e-07
172,62,O2(2) + CH(3) <=> O(5) + HCO(19),reaction,-2.588974140019328e-07,0.5,-6.47243535004832e-07
173,63,O(5) + CH2CO(24) <=> HCO(19) + HCO(19),reaction,4.599974559085604e-07,0.5,-1.1499936397714009e-06
174,64,O(5) + C2H3(22) <=> H(14) + CH2CO(24),reaction,-2.2244833434446376e-07,0.5,-5.561208358611594e-07
175,65,O2(2) + C2H3(22) <=> O(5) + CH2CHO(21),reaction,-0.006627173005656516,0.5,-0.01656793251414129
176,66,O(5) + CH3CO(20) <=> OH(15) + CH2CO(24),reaction,-3.1846493661213464e-07,0.5,-7.961623415303366e-07
177,67,HO2(16) + C2H2(25) <=> O(5) + CH2CHO(21),reaction,0.0,0.5,-0.0
178,68,HCO(19) <=> H(14) + CO(6),reaction,0.0,0.5,-0.0
179,69,O(5) + HCO(19) <=> OH(15) + CO(6),reaction,-1.8547424727838257e-07,0.5,-4.6368561819595644e-07
180,70,O2(2) + HCO(19) <=> HO2(16) + CO(6),reaction,0.00023693000820648657,0.5,-0.0005923250205162164
181,71,O(5) + CH(3) <=> H(14) + CO(6),reaction,-2.590752136614855e-07,0.5,-6.476880341537138e-07
182,72,O2(2) + CH(3) <=> OH(15) + CO(6),reaction,-2.933371161460706e-07,0.5,-7.333427903651765e-07
183,73,O2(2) + CH(3) <=> O(5) + H(14) + CO(6),reaction,-2.7423627559339326e-07,0.5,-6.855906889834831e-07
184,74,O(5) + CH2(23) <=> H(14) + H(14) + CO(6),reaction,-2.5607686383823805e-07,0.5,-6.401921595955951e-07
185,75,O2(2) + CH2(23) <=> H(14) + OH(15) + CO(6),reaction,-9.045751963647594e-08,0.5,-2.2614379909118985e-07
186,76,O(5) + C2H(4) <=> CO(6) + CH(3),reaction,-3.330160199503126e-07,0.5,-8.325400498757814e-07
187,77,O2(2) + C2H(4) <=> CO(6) + HCO(19),reaction,-3.1320999048356455e-07,0.5,-7.830249762089114e-07
188,78,O(5) + C2H2(25) <=> CO(6) + CH2(23),reaction,-1.6557159500996868e-06,0.5,-4.139289875249217e-06
189,79,OH(15) + C2H2(25) <=> CO(6) + CH3(18),reaction,-2.7147145128332194e-07,0.5,-6.786786282083048e-07
190,80,CO(6) + CH2(23) <=> CH2CO(24),reaction,0.0,0.5,-0.0
191,81,H(14) + CH2CO(24) <=> CO(6) + CH3(18),reaction,-0.00021282485970268536,0.5,-0.0005320621492567134
192,82,CH(3) + CH2CO(24) <=> CO(6) + C2H3(22),reaction,-3.1996037155865765e-07,0.5,-7.999009288966441e-07
193,83,CH2CHO(21) <=> CO(6) + CH3(18),reaction,0.0,0.5,-0.0
194,84,OH(15) + CH3CO(20) <=> OH(15) + CO(6) + CH3(18),reaction,-2.6460359570004064e-07,0.5,-6.615089892501015e-07
195,85,HCO(19) + C2H2(25) <=> CO(6) + C2H3(22),reaction,-1.2147387330783518e-06,0.5,-3.0368468326958794e-06
196,86,O(5) + CH2CO(24) <=> H(14) + CO(6) + HCO(19),reaction,1.0682333604056368e-07,0.5,-2.670583401014092e-07
197,87,OH(15) + C2H(4) <=> CO(6) + CH2(23),reaction,-2.774661314981116e-07,0.5,-6.93665328745279e-07
198,88,O(5) + C2H3(22) <=> CO(6) + CH3(18),reaction,-1.8097914922416365e-07,0.5,-4.5244787306040914e-07
199,89,HCO(19) + CH2(23) <=> CO(6) + CH3(18),reaction,-2.889530326603204e-07,0.5,-7.22382581650801e-07
200,90,OH(15) + CH(3) <=> H(14) + H(14) + CO(6),reaction,-2.777117978870068e-07,0.5,-6.94279494717517e-07
201,91,O2(2) + C2H2(25) <=> H(14) + CO(6) + HCO(19),reaction,-3.161659471859178e-07,0.5,-7.904148679647946e-07
202,92,O2(2) + C2H(4) <=> H(14) + CO(6) + CO(6),reaction,-3.0014510800225294e-07,0.5,-7.503627700056323e-07
203,93,H(14) + CH3CO(20) <=> H(14) + CO(6) + CH3(18),reaction,-3.401694018802081e-07,0.5,-8.504235047005202e-07
204,94,H(14) + CH2CHO(21) <=> H(14) + CO(6) + CH3(18),reaction,0.0,0.5,-0.0
205,95,CH(3) + CH2CHO(21) <=> H(14) + CO(6) + C2H3(22),reaction,-2.499004926815256e-07,0.5,-6.24751231703814e-07
206,96,O(5) + CO(6) <=> CO2(7),reaction,0.0,0.5,-0.0
207,97,O2(2) + CO(6) <=> O(5) + CO2(7),reaction,-1.4718438519368644e-06,0.5,-3.679609629842161e-06
208,98,OH(15) + CO(6) <=> H(14) + CO2(7),reaction,0.0,0.5,-0.0
209,99,HO2(16) + CO(6) <=> OH(15) + CO2(7),reaction,-0.0002295628004654123,0.5,-0.0005739070011635308
210,100,O(5) + HCO(19) <=> H(14) + CO2(7),reaction,-2.5793711724860784e-07,0.5,-6.448427931215197e-07
211,101,O2(2) + CH(3) <=> H(14) + CO2(7),reaction,-3.2508376693676497e-07,0.5,-8.127094173419124e-07
212,102,CO2(7) + CH(3) <=> CO(6) + HCO(19),reaction,-2.8205483329425657e-07,0.5,-7.051370832356414e-07
213,103,O2(2) + CH2(23) <=> H(14) + H(14) + CO2(7),reaction,-5.60916341661589e-07,0.5,-1.4022908541539726e-06
214,104,O(5) + CH2CO(24) <=> CO2(7) + CH2(23),reaction,-1.1155443747494657e-06,0.5,-2.7888609368736644e-06
215,105,OH(15) + CH2CO(24) <=> CO2(7) + CH3(18),reaction,-0.0006554095198274329,0.5,-0.0016385237995685822
216,106,O(5) + CH2CHO(21) <=> H(14) + CO2(7) + CH2(23),reaction,-7.806358708104205e-07,0.5,-1.951589677026051e-06
217,107,O(5) + CH3CO(20) <=> CO2(7) + CH3(18),reaction,-2.7929018085071333e-07,0.5,-6.982254521267833e-07
218,108,HO2(16) + CH3CO(20) <=> OH(15) + CO2(7) + CH3(18),reaction,-3.1677826781603475e-05,0.5,-7.919456695400868e-05
219,109,HO2(16) + HCO(19) => H(14) + OH(15) + CO2(7),reaction,-0.00016798703487579784,0.5,-0.0004199675871894946
220,110,O2(2) + C2H3(22) <=> CO2(7) + CH3(18),reaction,0.0,0.5,-0.0
221,111,CO2(7) + CH(3) <=> H(14) + CO(6) + CO(6),reaction,-2.8659680794401594e-07,0.5,-7.164920198600399e-07
222,112,HO2(16) + C2H2(25) <=> CO2(7) + CH3(18),reaction,0.0,0.5,-0.0
223,113,OH(15) + HCO(19) <=> H2O(8) + CO(6),reaction,2.8689252616255828e-06,0.5,-7.172313154063957e-06
224,114,OH(15) + CH2(23) <=> H2O(8) + CH(3),reaction,-3.215580689575172e-07,0.5,-8.038951723937929e-07
225,115,O2(2) + CH2(23) <=> H2O(8) + CO(6),reaction,6.509785720196541e-07,0.5,-1.6274464300491353e-06
226,116,OH(15) + CH3(18) <=> H2O(8) + CH2(23),reaction,-2.237127171613238e-06,0.5,-5.5928179290330955e-06
227,117,OH(15) + C2H2(25) <=> H2O(8) + C2H(4),reaction,-4.433127131398586e-07,0.5,-1.1082817828496465e-06
228,118,OH(15) + C2H3(22) <=> H2O(8) + C2H2(25),reaction,6.476492334168798e-08,0.5,-1.6191230835421995e-07
229,119,OH(15) + CH2CHO(21) <=> H2O(8) + CH2CO(24),reaction,4.379474688647059e-06,0.5,-1.0948686721617648e-05
230,120,OH(15) + CH3CO(20) <=> H2O(8) + CH2CO(24),reaction,-2.695045416154624e-07,0.5,-6.737613540386559e-07
231,121,O2(2) + H(14) + H2O(8) <=> HO2(16) + H2O(8),reaction,0.0003986151291973973,0.5,-0.0009965378229934933
232,122,H2O(8) + CH(3) <=> H(14) + CH2O(9),reaction,-2.8451396122614903e-07,0.5,-7.112849030653726e-07
233,123,OH(15) + CH2(23) <=> H(14) + CH2O(9),reaction,-2.6958195067334343e-07,0.5,-6.739548766833586e-07
234,124,HO2(16) + CH2(23) <=> OH(15) + CH2O(9),reaction,-2.5596798826079847e-07,0.5,-6.399199706519962e-07
235,125,O2(2) + CH2(23) <=> O(5) + CH2O(9),reaction,-2.399155555257934e-07,0.5,-5.997888888144835e-07
236,126,O(5) + CH2O(9) <=> OH(15) + HCO(19),reaction,5.691622377132277e-05,0.5,-0.00014229055942830692
237,127,OH(15) + CH2O(9) <=> H2O(8) + HCO(19),reaction,0.038647303248322926,0.5,-0.09661825812080732
238,128,O2(2) + CH2O(9) <=> HO2(16) + HCO(19),reaction,-0.001044266664875583,0.5,-0.0026106666621889575
239,129,HO2(16) + CH2O(9) <=> H2O2(17) + HCO(19),reaction,-0.04204987632638519,0.5,-0.10512469081596297
240,130,CH(3) + CH2O(9) <=> H(14) + CH2CO(24),reaction,-2.627695949018388e-07,0.5,-6.56923987254597e-07
241,131,CH2(23) + CH2O(9) <=> HCO(19) + CH3(18),reaction,-2.5330652111812305e-07,0.5,-6.332663027953076e-07
242,132,CH2O(9) + C2H(4) <=> HCO(19) + C2H2(25),reaction,-3.0131416654379146e-07,0.5,-7.532854163594787e-07
243,133,O(5) + CH3(18) <=> H(14) + CH2O(9),reaction,8.450492335096018e-06,0.5,-2.1126230837740047e-05
244,134,O2(2) + CH3(18) <=> OH(15) + CH2O(9),reaction,0.00031228317117784653,0.5,-0.0007807079279446164
245,135,O(5) + CH2CO(24) <=> CO(6) + CH2O(9),reaction,1.8781135034894392e-06,0.5,-4.695283758723598e-06
246,136,O2(2) + C2H3(22) <=> HCO(19) + CH2O(9),reaction,0.005447653184599716,0.5,-0.013619132961499289
247,137,O2(2) + CH2CHO(21) <=> OH(15) + CO(6) + CH2O(9),reaction,-0.0008551688272569248,0.5,-0.0021379220681423117
248,138,HCO(19) + HCO(19) <=> CO(6) + CH2O(9),reaction,-1.74147860112851e-07,0.5,-4.3536965028212747e-07
249,139,O2(2) + C2H3(22) <=> H(14) + CO(6) + CH2O(9),reaction,0.0,0.5,-0.0
250,140,CO2(7) + CH2(23) <=> CO(6) + CH2O(9),reaction,-3.4144401449171927e-07,0.5,-8.536100362292981e-07
251,141,O(5) + CH2O(9) <=> H(14) + OH(15) + CO(6),reaction,-1.5917667893655315e-07,0.5,-3.9794169734138286e-07
252,142,O2(2) + CH2O(9) <=> H(14) + HO2(16) + CO(6),reaction,-5.068257412624448e-06,0.5,-1.2670643531561121e-05
253,143,OH(15) + CH2O(9) <=> H(14) + H2O(8) + CO(6),reaction,0.0,0.5,-0.0
254,144,HO2(16) + CH2O(9) <=> H(14) + H2O2(17) + CO(6),reaction,-9.80370042920835e-05,0.5,-0.00024509251073020875
255,145,HO2(16) + C2H2(25) <=> HCO(19) + CH2O(9),reaction,0.0,0.5,-0.0
256,146,HO2(16) + C2H2(25) <=> H(14) + CO(6) + CH2O(9),reaction,0.0,0.5,-0.0
257,147,O2(2) + CH3CO(20) <=> OH(15) + CO(6) + CH2O(9),reaction,0.0,0.5,-0.0
258,148,O(5) + CH2CHO(21) <=> HCO(19) + CH2O(9),reaction,0.0,0.5,-0.0
259,149,O(5) + CH2CHO(21) <=> H(14) + CO(6) + CH2O(9),reaction,-2.3897266586278226e-07,0.5,-5.974316646569557e-07
260,150,HO2(16) + CH2CHO(21) <=> OH(15) + HCO(19) + CH2O(9),reaction,-0.0001436795768642332,0.5,-0.00035919894216058303
261,151,HO2(16) + CH3(18) <=> O2(2) + CH4(10),reaction,0.017875050245719178,0.5,-0.04468762561429794
262,152,HCO(19) + CH3(18) <=> CO(6) + CH4(10),reaction,2.7590108780553473e-06,0.5,-6.897527195138368e-06
263,153,CH2O(9) + CH3(18) <=> HCO(19) + CH4(10),reaction,0.003285065796451584,0.5,-0.00821266449112896
264,154,O(5) + CH4(10) <=> OH(15) + CH3(18),reaction,2.9896653851649826e-06,0.5,-7.474163462912456e-06
265,155,OH(15) + CH4(10) <=> H2O(8) + CH3(18),reaction,-3.308149568212905e-05,0.5,-8.270373920532261e-05
